layer,replicate,n_train,n_oob,update_mse,update_r2
6,13,14353,5277,0.026389354839920998,0.7128854393959045
7,13,14353,5277,0.03297199308872223,0.7683894038200378
8,13,14353,5277,0.042962003499269485,0.7626726031303406
9,13,14353,5277,0.04675281420350075,0.803310215473175
10,13,14353,5277,0.05974004790186882,0.6961271166801453
11,13,14353,5277,0.13566915690898895,0.694955587387085
0,14,14353,5287,0.012030771933495998,0.8104003071784973
1,14,14353,5287,0.01690548099577427,0.5134472250938416
2,14,14353,5287,0.0256496574729681,0.580024003982544
3,14,14353,5287,0.04115866869688034,0.5769684314727783
4,14,14353,5287,0.023525534197688103,0.625284731388092
5,14,14353,5287,0.02461986243724823,0.6512441039085388
6,14,14353,5287,0.026776015758514404,0.7110723853111267
7,14,14353,5287,0.0335550494492054,0.7687070369720459
8,14,14353,5287,0.043759334832429886,0.7610774040222168
9,14,14353,5287,0.047367215156555176,0.8019459843635559
10,14,14353,5287,0.06047767773270607,0.6881771683692932
11,14,14353,5287,0.14314380288124084,0.6997509598731995
0,15,14353,5264,0.011444933712482452,0.8185713291168213
1,15,14353,5264,0.016524093225598335,0.527982234954834
2,15,14353,5264,0.02526901103556156,0.5917575359344482
3,15,14353,5264,0.040740083903074265,0.5886089205741882
4,15,14353,5264,0.023203754797577858,0.6304716467857361
5,15,14353,5264,0.024374233558773994,0.6542423367500305
6,15,14353,5264,0.02639876864850521,0.7141745686531067
7,15,14353,5264,0.03312529996037483,0.7675140500068665
8,15,14353,5264,0.04348208010196686,0.7605597376823425
9,15,14353,5264,0.04702402651309967,0.8038776516914368
10,15,14353,5264,0.060204844921827316,0.6937060356140137
11,15,14353,5264,0.13646355271339417,0.7046249508857727
0,16,14353,5261,0.011837045662105083,0.814115047454834
1,16,14353,5261,0.017169302329421043,0.5081419348716736
2,16,14353,5261,0.02567771077156067,0.5802382230758667
3,16,14353,5261,0.04136742278933525,0.5764855742454529
4,16,14353,5261,0.023426974192261696,0.6257115006446838
5,16,14353,5261,0.0245699230581522,0.652442991733551
6,16,14353,5261,0.026589125394821167,0.7102718353271484
7,16,14353,5261,0.033273689448833466,0.7682035565376282
8,16,14353,5261,0.043505121022462845,0.7626574635505676
9,16,14353,5261,0.04700274392962456,0.804615318775177
10,16,14353,5261,0.06020304560661316,0.6916021704673767
11,16,14353,5261,0.1358671337366104,0.7052486538887024
0,17,14353,5286,0.011736269108951092,0.8168692588806152
1,17,14353,5286,0.016805356368422508,0.5232325196266174
2,17,14353,5286,0.025473957881331444,0.5878278613090515
3,17,14353,5286,0.040950413793325424,0.5856348872184753
4,17,14353,5286,0.023328008130192757,0.6285801529884338
5,17,14353,5286,0.024369217455387115,0.6538227200508118
6,17,14353,5286,0.02637496590614319,0.7103824615478516
7,17,14353,5286,0.03311483561992645,0.7683369517326355
8,17,14353,5286,0.04339340329170227,0.7615819573402405
9,17,14353,5286,0.046632710844278336,0.8037479519844055
10,17,14353,5286,0.05976913496851921,0.6931721568107605
11,17,14353,5286,0.13659165799617767,0.7050212025642395
0,18,14353,5264,0.011428117752075195,0.8177937865257263
1,18,14353,5264,0.01647973246872425,0.5289008617401123
2,18,14353,5264,0.025179006159305573,0.5907773971557617
3,18,14353,5264,0.0404515266418457,0.5884650349617004
4,18,14353,5264,0.023049702867865562,0.631364643573761
5,18,14353,5264,0.024365773424506187,0.6541891098022461
6,18,14353,5264,0.0264762993901968,0.7117171287536621
7,18,14353,5264,0.03301793709397316,0.7688658833503723
8,18,14353,5264,0.043616969138383865,0.7608258724212646
9,18,14353,5264,0.04687362536787987,0.8028731942176819
10,18,14353,5264,0.06011583283543587,0.6916403770446777
11,18,14353,5264,0.1328694373369217,0.7026551365852356
0,19,14353,5306,0.011630131863057613,0.8163251876831055
1,19,14353,5306,0.017055107280611992,0.5143060684204102
2,19,14353,5306,0.025475263595581055,0.5834441781044006
3,19,14353,5306,0.041073355823755264,0.579850971698761
4,19,14353,5306,0.023364106193184853,0.6282615065574646
5,19,14353,5306,0.024481579661369324,0.6526635885238647
