layer,replicate,n_train,n_oob,update_mse,update_r2
5,10,14353,5244,0.03050512634217739,0.5902962684631348
6,10,14353,5244,0.031775470823049545,0.6309613585472107
7,10,14353,5244,0.03979981690645218,0.6827201843261719
8,10,14353,5244,0.04666687175631523,0.6754312515258789
9,10,14353,5244,0.0599445216357708,0.6742062568664551
10,10,14353,5244,0.08044935017824173,0.5835696458816528
11,10,14353,5244,0.416909784078598,0.5605498552322388
0,11,14353,5299,0.017426101490855217,0.7687191963195801
1,11,14353,5299,0.022886402904987335,0.3424122631549835
2,11,14353,5299,0.03640490397810936,0.4375157356262207
3,11,14353,5299,0.06420672684907913,0.5182141661643982
4,11,14353,5299,0.0321839302778244,0.5183637142181396
5,11,14353,5299,0.03067387081682682,0.5866920948028564
6,11,14353,5299,0.03178824484348297,0.6266058087348938
7,11,14353,5299,0.039765048772096634,0.6807184219360352
8,11,14353,5299,0.04724897816777229,0.6734023690223694
9,11,14353,5299,0.06051822006702423,0.6731656193733215
10,11,14353,5299,0.08118937164545059,0.579569935798645
11,11,14353,5299,0.4143495261669159,0.5549911856651306
0,12,14353,5318,0.017632467672228813,0.7695350646972656
1,12,14353,5318,0.022677185013890266,0.33605751395225525
2,12,14353,5318,0.03639215975999832,0.43446460366249084
3,12,14353,5318,0.0650603398680687,0.5144492983818054
4,12,14353,5318,0.03224362060427666,0.5162212252616882
5,12,14353,5318,0.03064880520105362,0.5873849391937256
6,12,14353,5318,0.03189518675208092,0.6261137127876282
7,12,14353,5318,0.039872944355010986,0.6775991320610046
8,12,14353,5318,0.047104328870773315,0.670117199420929
9,12,14353,5318,0.06043156608939171,0.6714503765106201
10,12,14353,5318,0.08124087005853653,0.5783100724220276
11,12,14353,5318,0.4262721538543701,0.5564693808555603
0,13,14353,5277,0.017438484355807304,0.7698257565498352
1,13,14353,5277,0.022599780932068825,0.3403507173061371
2,13,14353,5277,0.036601778119802475,0.44488129019737244
3,13,14353,5277,0.06445548683404922,0.5327197313308716
4,13,14353,5277,0.03202684596180916,0.5183978080749512
5,13,14353,5277,0.03050319291651249,0.5880473256111145
6,13,14353,5277,0.03190752863883972,0.6273192167282104
7,13,14353,5277,0.039562877267599106,0.6794838905334473
8,13,14353,5277,0.04700001701712608,0.6716375350952148
9,13,14353,5277,0.06014165282249451,0.6749230027198792
10,13,14353,5277,0.08108074218034744,0.5821408629417419
11,13,14353,5277,0.42338451743125916,0.5583048462867737
0,14,14353,5287,0.017562618479132652,0.7685028910636902
1,14,14353,5287,0.022410569712519646,0.3415733873844147
2,14,14353,5287,0.03658375144004822,0.4415920674800873
3,14,14353,5287,0.06526778638362885,0.5240774154663086
4,14,14353,5287,0.03191913664340973,0.5183621048927307
5,14,14353,5287,0.030545547604560852,0.5846865773200989
6,14,14353,5287,0.03179900348186493,0.6260817050933838
7,14,14353,5287,0.03950595483183861,0.6772521138191223
8,14,14353,5287,0.04687676951289177,0.6721852421760559
9,14,14353,5287,0.06051960587501526,0.6705362796783447
10,14,14353,5287,0.08149216324090958,0.5787418484687805
11,14,14353,5287,0.4149808883666992,0.5583435297012329
0,15,14353,5264,0.017602480947971344,0.7682216763496399
1,15,14353,5264,0.023003041744232178,0.3479961156845093
2,15,14353,5264,0.03634118661284447,0.44950342178344727
3,15,14353,5264,0.06259234994649887,0.5315946936607361
4,15,14353,5264,0.031881533563137054,0.5189741253852844
5,15,14353,5264,0.03025534749031067,0.5882328152656555
